OBJECTID,Early_Yr,Late_Yr,GNIS_ID,GNIS_Name,Shape__Length
105,1998,2004,00230478,Peña Creek,3016.77219783804
106,1999,2005,00229488,New Creek,6444.0663023678
107,1999,2005,00270301,Carmel River,2397.56127878799
108,1999,2005,00273633,Sespe Creek,3559.71850087009
109,1999,2005,,,1701.79209240017
110,2000,2004,00233415,Anderson Creek,5786.45954414845
111,2000,2005,00270312,Carpinteria Creek,173.704113520432
112,2000,2006,00235032,South Fork Noyo River,96.5015287320062
113,2001,2004,00228139,Marshall Creek,5622.10567638401
114,2001,2005,00246127,Montecito Creek,1328.68391829107
115,2001,2007,00236107,Tenmile Creek,2431.03370485221
116,2001,2007,00249724,South Fork Trinity River,9383.31927266673
117,2001,2007,00257996,Carr Creek,1262.71883216679
118,2001,2007,00264217,North Fork Trinity River,1735.67535497396
119,2001,2007,00266799,Hayfork Creek,2310.91992345146
120,2001,2008,00237373,Weaver Creek,5038.2257551607
121,2001,2008,,,277.729032221048
122,2001,2008,,,421.94559668462
123,2002,2005,00249525,Sisquoc River,921.359894127335
124,2002,2005,00255137,Thomes Creek,85176.1410064779
125,2002,2005,00256832,Bennett Creek,184.191507407884
126,2002,2005,00257399,Bowers Creek,261.39955701866
127,2002,2005,00266271,Slate Creek,411.929210923443
128,2002,2005,,,74.7905975667343
129,2002,2005,,,105.924321273517
130,2002,2005,,,79.4100996264041
131,2002,2005,,,152.077419068754
132,2002,2005,,,216.127687907073
133,2002,2005,,,576.617977821136
134,2002,2005,,,319.924723821808
135,2002,2005,,,109.741628095079
136,2002,2005,,,158.944455659823
137,2002,2005,,,690.891013827617
138,2002,2005,,,56.1906267651455
139,2002,2005,,,107.125802698419
140,2002,2005,,,140.461927051958
141,2002,2005,,,97.5427359031046
142,2002,2005,,,34.4126305392056
143,2002,2005,,,69.7681392922093
144,2002,2005,,,337.717704010897
145,2002,2005,,,194.125443038802
146,2002,2005,,,309.403924769553
147,2002,2005,,,558.738250971748
148,2002,2005,,,132.078052027252
149,2002,2005,,,214.336071611235
150,2002,2005,,,183.613040428002
151,2002,2005,,,263.080160908398
152,2002,2005,,,90.3236566934658
153,2002,2005,,,401.887366445351
154,2002,2005,,,146.824209299813
155,2002,2005,,,71.3996307396028
156,2002,2005,,,29.3290210670963
157,2002,2005,,,111.91733566683
158,2002,2005,,,18.3913711834185
159,2002,2005,,,1310.09811691433
160,2002,2005,,,90.4618118249746
161,2002,2005,,,84.3597953545042
162,2002,2005,,,146.426975003558
163,2002,2005,,,88.7890163581265
164,2002,2005,,,169.595238370566
165,2002,2005,,,151.833418479588
166,2002,2005,,,28.1329946191732
167,2002,2005,,,158.968249529328
168,2002,2005,,,107.830957072736
169,2002,2005,,,123.34422731315
170,2002,2005,,,145.526551585563
171,2002,2005,,,10.9891963254238
172,2002,2005,,,16.0892941346471
173,2002,2005,,,428.993742346325
174,2002,2005,,,371.984909622796
175,2002,2005,,,5532.67427201515
176,2002,2005,,,301.140564970296
177,2002,2005,,,13.757869706353
178,2002,2005,,,116.738088488856
179,2002,2005,,,349.151824926401
180,2002,2005,,,113.030069684499
181,2002,2005,,,111.909581975677
182,2002,2005,,,114.22006994713
183,2002,2005,,,114.302584826762
184,2002,2005,,,380.912762745433
185,2002,2005,,,126.826094619142
186,2002,2005,,,41.8640047061142
187,2002,2005,,,192.202980543023
188,2002,2005,,,569.260111876106
189,2003,2005,00254998,Old River,0.761527682747542
190,2003,2005,00273488,San Joaquin River,38576.2849651441
191,2003,2005,,,173.631524890674
192,2003,2005,,,389.488519087229
193,2004,2004,00218873,Bear River,2366.57958978667
194,2004,2004,00219771,Branciforte Creek,2294.93314020142
195,2004,2004,00220102,Bull Creek,1923.86215153396
196,2004,2004,00226868,Larabee Creek,137.58349199148
197,2004,2004,00228753,Millers Canal,2508.54328070993
198,2004,2004,00232068,Ryan Slough,2116.32835012224
199,2004,2004,00233910,Freshwater Creek,6147.6106911418
200,2004,2004,00238220,Yager Creek,2881.93985196147
201,2004,2004,00252171,Sproul Creek,1129.79721819266
202,2004,2004,00265348,Redwood Creek,450.691839340994
203,2004,2004,00268345,Tomki Creek,3306.83383643229
204,2004,2004,,,108.227460825235
205,2004,2004,,,1213.94469259576
206,2004,2004,,,2962.31324106459
207,2004,2005,00221697,Cow Creek,4552.28017295769
208,2004,2005,00229693,North Fork Mad River,726.467038530565
209,2004,2005,01654961,South Fork Elk River,3318.51199764732
210,2004,2007,01654949,Sacramento River,2673.96136107568
211,2005,2005,00261739,Indian Creek,4687.64504315704
212,2005,2005,00264205,North Fork Salmon River,5644.11986476709
213,2005,2005,00267500,South Fork Salmon River,3427.22044361889
214,2005,2005,00272329,Manzana Creek,0.548715004219841
215,2005,2005,,,4270.84034203327
216,1920,2005,00249086,Santa Maria River,1.19562379224889
217,1962,2004,00218466,Austin Creek,1379.17298440518
218,1962,2004,00234936,South Branch North Fork Navarro River,0.902558553768477
219,1989,2007,00266887,Klamath River,8608.68022562243
220,1920,2005,00249086,Santa Maria River,1.59411289324666
221,1956,2007,00253918,South Fork Eel River,470.176428212442
222,1959,2004,00234972,South Fork Big River,459.47642128648
223,1962,2004,00218466,Austin Creek,2870.59355127735
224,1962,2004,,,1757.067277194
225,1989,2007,00266887,Klamath River,6378.46043420418
226,1962,2004,00218466,Austin Creek,1223.34200323504
227,1989,2007,00266887,Klamath River,603.33780829689
228,1962,2004,01662310,North Branch North Fork Navarro River,1748.66268925196
229,1966,2007,00229702,North Fork Noyo River,1816.83171078799
230,1962,2004,00218466,Austin Creek,49.4018146116038
231,1959,2004,00234972,South Fork Big River,2503.91952694211
232,1966,2007,00229702,North Fork Noyo River,197.802839603063
233,1989,2007,00266887,Klamath River,282.001385778038
234,1956,2004,00222623,Dry Creek,472.392583530462
235,1956,2007,00267200,Russian River,3647.4072396037
236,1981,2005,00248894,San Lorenzo River,429.672430049178
237,1989,2007,00266887,Klamath River,5207.91230954137
238,1961,2004,00218079,Albion River,0.128540423228041
